# DocKG Multipass Analysis Pipeline - Run Parameters
# Run ID: d3f9cf29775d
# Generated: 2026-04-06T13:09:31.284872+00:00
# Corpus root: .
# Chunk strategy: sentence_group
# Sentences per chunk: 4
# Batch size: 20
# Sampling strategy: diversity
# Diversity clusters: 8
# Topic clusters: 8
# Supervised threshold: 0.3
# Random seed: 42
# Total files: 8
# Sampled files: 8
# Total chunks: 69
#
# ======== ENTRIES ========


# === Source: CHANGELOG.md ===
# Section: Changelog
pchunk:CHANGELOG.md:ddc9a17b | cluster:cluster_7 | 0.58 | unsupervised | this,https,project,adheres | All notable changes to this project will be documented in this file. The format is based on [Keep a Changelog](https://keepachangelog.com/en/1.0.0/), and this project adheres to [Semantic Versioning](https://semver.org/spec/v2.0.0.html).
pchunk:analysis/FTreeKG_analysis_20260321.md:1185e2f1 | cluster:cluster_2 | 0.69 | unsupervised | method,py,src,init__ | | Rank | Score | Kind | Name | Module | |------|-------|------|------|--------| | 1 | 0.8508 | method | `FileTreeKGAdapter._load` | src/adapter.py | | 2 | 0.7461 | method | `FileTreeKGAdapter.__init__` | src/adapter.py | | 3 | 0.7425 | method | `FileTreeKG.__init__` | src/module.py | | 4 | 0.7333 | method | `FileTreeKGExtractor.__init__` | src/extractor.py |
pchunk:analysis/FTreeKG_analysis_20260321.md:0026526e | cluster:cluster_2 | 0.68 | unsupervised | py,src,function,cli | | Rank | Score | Kind | Name | Module | |------|-------|------|------|--------| | 1 | 0.7793 | function | `_hydrate_snapshot` | src/snapshots.py | | 2 | 0.75 | function | `save_snapshot` | src/cli/cmd_snapshot.py | | 3 | 0.7342 | function | `pack` | src/cli/cmd_query.py | | 4 | 0.7315 | method | `FileTreeKGAdapter.is_available` | src/adapter.py | | 5 | 0.7287 | method | `FtreeSnapshotManager.save_snapshot` | src/snapshots.py |
pchunk:analysis/FTreeKG_analysis_20260321.md:0dcc6bc4 | cluster:cluster_2 | 0.67 | unsupervised | function,py,examples,query_examples | | Rank | Score | Kind | Name | Module | |------|-------|------|------|--------| | 1 | 0.75 | function | `query` | src/cli/cmd_query.py | | 2 | 0.7022 | function | `pack` | src/cli/cmd_query.py | | 3 | 0.6947 | function | `basic_queries` | examples/query_examples.py | | 4 | 0.686 | function | `stats` | examples/query_examples.py | | 5 | 0.685 | function | `analyze` | examples/query_examples.py |
pchunk:analysis/FTreeKG_analysis_20260321.md:6a91b4da | cluster:cluster_2 | 0.69 | unsupervised | method,py,src,extractor | | Rank | Score | Kind | Name | Module | |------|-------|------|------|--------| | 1 | 0.7607 | method | `FileTreeKGExtractor.meaningful_node_kinds` | src/extractor.py | | 2 | 0.75 | method | `FileTreeKGExtractor.extract` | src/extractor.py | | 3 | 0.7466 | method | `FtreeSnapshotManager._collect_dir_node_counts` | src/snapshots.py | | 4 | 0.7426 | method | `FileTreeKGExtractor.edge_kinds` | src/extractor.py | | 5 | 0.7371 | method | `FileTreeKGExtractor.coverage_metric` | src/extractor.py | --- *Report generated by CodeKG Thorough Analysis Tool — analysis completed in 3.5s*

# === Source: docs/README.md ===
# Section: Overview
pchunk:docs/README.md:07e1fa41 | cluster:cluster_7 | 0.62 | unsupervised | capabilities,directories,files,filesystem | FTreeKG (FileTreeKG) is a KGModule that transforms filesystem hierarchies into queryable knowledge graphs. It indexes files, directories, symlinks, and logical modules with semantic search capabilities.
pchunk:docs/README.md:86c0bef9 | cluster:cluster_7 | 0.65 | unsupervised | directory,file,files,filesystem | - **file** — Regular files indexed with semantic search - **directory** — Directory nodes organizing hierarchy - **symlink** — Symbolic links in the filesystem - **module** — Logical groupings or modules
pchunk:docs/README.md:bd8b1415 | cluster:cluster_7 | 0.60 | unsupervised | inverse,relationship,child,child_of | - **CONTAINS** — Parent-child containment relationships - **CHILD_OF** — Inverse child relationship - **PARENT_OF** — Inverse parent relationship
pchunk:docs/README.md:57c1dd9f | cluster:cluster_7 | 0.60 | unsupervised | classified,graph,knowledge,meta | - **meta** — Classified as metadata/structural knowledge graph
pchunk:docs/README.md:0c1965cd | cluster:cluster_4 | 0.63 | unsupervised | filetreekg,kg,analyze,build | ```python from filetreekg import FileTreeKG kg = FileTreeKG(repo_root="/path/to/analyze") kg.build(wipe=True) ```
pchunk:docs/README.md:94f0823a | cluster:cluster_6 | 0.66 | unsupervised | directory,kg,pack,snippets | snippets = kg.pack("directory structure", k=3) ```
pchunk:docs/README.md:8aa9bf26 | cluster:cluster_6 | 0.61 | unsupervised | stats,print,total,edge_count | stats = kg.stats() print(f"Total nodes: {stats.node_count}") print(f"Total edges: {stats.edge_count}")
pchunk:docs/README.md:c503202a | cluster:cluster_3 | 0.62 | unsupervised | kgrag,across,codekg,dockg | FileTreeKG integrates with KGRAG for federated queries across CodeKG, DocKG, and other knowledge graphs: ```python from kg_rag import KGRAG kgrag = KGRAG()
pchunk:docs/README.md:7aaf7343 | cluster:cluster_6 | 0.62 | unsupervised | all,config,files,find | results = kgrag.query("find all config files", kinds=["meta"]) ```
pchunk:docs/README.md:6344d099 | cluster:cluster_3 | 0.65 | unsupervised | config,py,claude,filetreekg | ``` FTreeKG/ ├── filetreekg/           # Main package │   ├── extractor.py      # FileTreeKGExtractor │   ├── module.py         # FileTreeKG KGModule │   ├── adapter.py        # FileTreeKGAdapter (KGRAG) │   └── tests/            # Test suite ├── docs/                 # Documentation ├── .claude/              # Project config │   └── CLAUDE.md         # Development guide ├── .github/workflows/    # CI/CD ├── .mcp.json             # MCP server config ├── pyproject.toml        # Poetry configuration └── pytest.ini            # Pytest config ```
pchunk:docs/README.md:40019dbd | cluster:cluster_7 | 0.58 | unsupervised | claude,md,instructions,project-specific | See [`CLAUDE.md`](../.claude/CLAUDE.md) for project-specific instructions.

# === Source: docs/ftreekg_packaging_fix.md ===
# Section: Problem Summary
pchunk:docs/ftreekg_packaging_fix.md:e7f4024a | cluster:cluster_5 | 0.70 | unsupervised | any,cannot,dependency,due | FTreeKG cannot be reliably installed as a path dependency from kgrag (or any other repo) due to two structural issues in its `pyproject.toml`. ---
pchunk:docs/ftreekg_packaging_fix.md:c4e89f06 | cluster:cluster_1 | 0.63 | unsupervised | src,cli,toml,cmd_query | **File:** `pyproject.toml` line 13 **Current:** ```toml packages = [{include = "src"}] ``` **Problem:** This tells Poetry to install a top-level package named `src`. The code lives directly inside `src/` with no `ftree_kg/` subdirectory, so the installed import path is `import src` — which collides with any other package using the same flat layout, and is not importable by a meaningful name.  **All CLI entry points are also broken as a result:** ```toml ftreekg        = "src.cli:cli" ftreekg-build  = "src.cli.cmd_build:build" ftreekg-query  = "src.cli.cmd_query:query" ftreekg-pack   = "src.cli.cmd_query:pack" ftreekg-analyze = "src.cli.cmd_analyze:analyze" ftreekg-snapshot = "src.cli.cmd_snapshot:snapshot" ```  ---
pchunk:docs/ftreekg_packaging_fix.md:4c9a97d8 | cluster:cluster_5 | 0.68 | unsupervised | kgrag,depends,ftree-kg,git | **File:** `pyproject.toml` line 35 **Current:** ```toml kg-rag = { git = "https://github.com/Flux-Frontiers/KGRAG.git"} ``` **Problem:** kgrag depends on ftree-kg, and ftree-kg depends on kg-rag → circular. Poetry/pip resolvers will either fail or silently install mismatched versions. FTreeKG should depend on `code-kg` and `doc-kg` directly (as it already does on lines 36–37), not on the kgrag orchestrator.  ---
pchunk:docs/ftreekg_packaging_fix.md:11740573 | cluster:cluster_1 | 0.61 | unsupervised | py,adapter,cli,config | src/   __init__.py   adapter.py   cli/   config.py   extractor.py   module.py   snapshots.py   tests/
pchunk:docs/ftreekg_packaging_fix.md:3c6185dd | cluster:cluster_1 | 0.64 | unsupervised | py,src,tests,adapter | src/   ftree_kg/     __init__.py     adapter.py     cli/     config.py     extractor.py     module.py     snapshots.py   tests/   ← move tests out of src ```
pchunk:docs/ftreekg_packaging_fix.md:e4c675c4 | cluster:cluster_3 | 0.66 | unsupervised | cli,ftree_kg,cmd_query,analyze | [tool.poetry.scripts] ftreekg          = "ftree_kg.cli:cli" ftreekg-build    = "ftree_kg.cli.cmd_build:build" ftreekg-query    = "ftree_kg.cli.cmd_query:query" ftreekg-pack     = "ftree_kg.cli.cmd_query:pack" ftreekg-analyze  = "ftree_kg.cli.cmd_analyze:analyze" ftreekg-snapshot = "ftree_kg.cli.cmd_snapshot:snapshot"
pchunk:docs/ftreekg_packaging_fix.md:dbc848c2 | cluster:cluster_3 | 0.65 | unsupervised | git,com,flux-frontiers,github | [tool.poetry.dependencies] python   = ">=3.12,<3.14" click    = "^8.1.0" code-kg  = { git = "https://github.com/Flux-Frontiers/code_kg.git" } doc-kg   = { git = "https://github.com/Flux-Frontiers/doc_kg.git" } ```
pchunk:docs/ftreekg_packaging_fix.md:2feaa982 | cluster:cluster_1 | 0.62 | unsupervised | import,xxx,ftree_kg,src | All files that currently do `from src.xxx import ...` or `import src.xxx` must be updated to `from ftree_kg.xxx import ...` / `import ftree_kg.xxx`.
pchunk:docs/ftreekg_packaging_fix.md:011dc9d9 | cluster:cluster_1 | 0.63 | unsupervised | code_kg,ftree_kg,ignore_missing_imports,kg_rag | ```toml [[tool.mypy.overrides]] module = ["code_kg.*", "kg_rag.*", "ftree_kg.*"] ignore_missing_imports = true ```
pchunk:docs/ftreekg_packaging_fix.md:352700b4 | cluster:cluster_3 | 0.66 | unsupervised | cd,egs,ftree_kg,ftreekg | ```bash cd /Users/egs/repos/FTreeKG poetry install ftreekg --help   # verify CLI resolves cd /Users/egs/repos/kgrag poetry update ftree-kg python -c "import ftree_kg; print(ftree_kg.__version__)" ``` ---
pchunk:docs/ftreekg_packaging_fix.md:268f77a4 | cluster:cluster_1 | 0.63 | unsupervised | src,include,code_kg,doc_kg | All other packages in this ecosystem follow the same layout: | Repo     | packages declaration                          | Import root | |----------|-----------------------------------------------|-------------| | code_kg  | `{include = "code_kg", from = "src"}`         | `code_kg`   | | doc_kg   | `{include = "doc_kg", from = "src"}`          | `doc_kg`    | | kgrag    | `{include = "kg_rag", from = "src"}`          | `kg_rag`    | | FTreeKG  | `{include = "src"}` ← **broken, fix this**   | `src` ← bad | ---
pchunk:docs/ftreekg_packaging_fix.md:9b3dea66 | cluster:cluster_5 | 0.70 | unsupervised | ftreekg,path,because,correct | - kgrag `pyproject.toml` currently has: `ftree-kg = {path = "../FTreeKG", develop = true}` - This path dep is correct; the problem is entirely inside FTreeKG itself - Fix was deferred because source files were staged at time of discovery (2026-03-25)

# ======== STATISTICS ========
# Supervised classifications: 2
# Unsupervised classifications: 67
# Fallback classifications: 0
# Supervised rate: 2.9%
